trade_code,,,,
005063,GFZZQZJYDQZSA,广发中证全指家用电器指数A,股票指数,GUANGFAZHONGZHENGQUANZHIJIAYONGDIANQIZHISHUA
005064,GFZZQZJYDQZSC,广发中证全指家用电器指数C,股票指数,GUANGFAZHONGZHENGQUANZHIJIAYONGDIANQIZHISHUC
005065,ZJXJGJC,中金现金管家C,货币型,ZHONGJINXIANJINGUANJIAC
005067,RTNXCLLHPZHH,融通逆向策略灵活配置混合,混合型,RONGTONGNIXIANGCELUELINGHUOPEIZHIHUNHE
005068,CXFHCZYNDKZA,长信富海纯债一年定开债A,定开债券,CHANGXINFUHAICHUNZHAIYINIANDINGKAIZHAIA
005069,CXFMCZYNDKZA,长信富民纯债一年定开债A,定开债券,CHANGXINFUMINCHUNZHAIYINIANDINGKAIZHAIA
005070,CJLFCZ,长江乐丰纯债,定开债券,CHANGJIANGLEFENGCHUNZHAI
005072,ZYFJDQKFZQ,中银丰进定期开放债券,定开债券,ZHONGYINFENGJINDINGQIKAIFANGZHAIQUAN
005073,YYYYZQA,永赢永益债券A,债券型,YONGYINGYONGYIZHAIQUANA
005074,YYYYZQC,永赢永益债券C,债券型,YONGYINGYONGYIZHAIQUANC
005075,FGYJLHJXHH,富国研究量化精选混合,混合型,FUGUOYANJIULIANGHUAJINGXUANHUNHE
005076,CJHXYXHBLHPZHH,创金合信优选回报灵活配置混合,混合型,CHUANGJINHEXINYOUXUANHUIBAOLINGHUOPEIZHIHUNHE
005077,PADHHYDKZ,平安大华合韵定开债,定开债券,PINGANDAHUAHEYUNDINGKAIZHAI
005078,FGBLZQZQ,富国宝利增强债券,债券型,FUGUOBAOLIZENGQIANGZHAIQUAN
005080,HFTLHDYZHHC,海富通量化多因子混合C,混合型,HAIFUTONGLIANGHUADUOYINZIHUNHEC
005081,HFTLHDYZHHA,海富通量化多因子混合A,混合型,HAIFUTONGLIANGHUADUOYINZIHUNHEA
005082,NDLHLCZQHHA,诺德量化蓝筹增强混合A,混合型,NUODELIANGHUALANCHOUZENGQIANGHUNHEA
005083,NDLHLCZQHHC,诺德量化蓝筹增强混合C,混合型,NUODELIANGHUALANCHOUZENGQIANGHUNHEC
005084,PADHLHXFA,平安大华量化先锋A,混合型,PINGANDAHUALIANGHUAXIANFENGA
005085,PADHLHXFC,平安大华量化先锋C,混合型,PINGANDAHUALIANGHUAXIANFENGC
005086,NHXJBHBA,南华现金宝货币A,货币型,NANHUAXIANJINBAOHUOBIA
005087,NHXJBHBB,南华现金宝货币B,货币型,NANHUAXIANJINBAOHUOBIB
005088,JSXTHDQHHA,嘉实新添辉定期混合A,混合型,JIASHIXINTIANHUIDINGQIHUNHEA
005089,JSXTHDQHHC,嘉实新添辉定期混合C,混合型,JIASHIXINTIANHUIDINGQIHUNHEC
005090,JHRJHHFQSA,嘉合睿金混合发起式A,混合型,JIAHERUIJINHUNHEFAQISHIA
005091,JHRJHHFQSC,嘉合睿金混合发起式C,混合型,JIAHERUIJINHUNHEFAQISHIC
005092,GFHBC,广发货币C,货币型,GUANGFAHUOBIC
005093,ZYZZ710NQGKZZS,中银中债7-10年期国开债指数,债券指数,ZHONGYINZHONGZHAI710NIANQIGUOKAIZHAIZHISHU
005094,WJZXHH,万家臻选混合,混合型,WANJIAZHENXUANHUNHE
005095,GTLHCZYXHHA,国泰量化成长优选混合A,混合型,GUOTAILIANGHUACHENGZHANGYOUXUANHUNHEA
005096,GTLHCZYXHHC,国泰量化成长优选混合C,混合型,GUOTAILIANGHUACHENGZHANGYOUXUANHUNHEC
005097,YFDXJZLHBC,易方达现金增利货币C,货币型,YIFANGDAXIANJINZENGLIHUOBIC
005098,YFDLBHBC,易方达龙宝货币C,货币型,YIFANGDALONGBAOHUOBIC
005099,YFDZGJJYLCZQB,易方达掌柜季季盈理财债券B,理财型,YIFANGDAZHANGGUIJIJIYINGLICAIZHAIQUANB
005100,YFDZGJJYLCZQC,易方达掌柜季季盈理财债券C,理财型,YIFANGDAZHANGGUIJIJIYINGLICAIZHAIQUANC
005101,YFDYYLLCZQC,易方达月月利理财债券C,理财型,YIFANGDAYUEYUELILICAIZHAIQUANC
005104,FRFKHHA,富荣福康混合A,混合型,FURONGFUKANGHUNHEA
005105,FRFKHHC,富荣福康混合C,混合型,FURONGFUKANGHUNHEC
005106,YHNYCYGPFQS,银华农业产业股票发起式,股票型,YINHUANONGYECHANYEGUPIAOFAQISHI
005107,GFTLHBETFB,广发添利货币ETFB,货币型,GUANGFATIANLIHUOBIETFB
005108,YXYFSLYX,圆信永丰双利优选,混合型,YUANXINYONGFENGSHUANGLIYOUXUAN
005109,HADCLHHA,汇安多策略混合A,混合型,HUIANDUOCELUEHUNHEA
005110,HADCLHHC,汇安多策略混合C,混合型,HUIANDUOCELUEHUNHEC
005111,TKQLLHJZJXHHC,泰康泉林量化价值精选混合C,混合型,TAIKANGQUANLINLIANGHUAJIAZHIJINGXUANHUNHEC
005112,YHZZQZYYWS,银华中证全指医药卫生,股票指数,YINHUAZHONGZHENGQUANZHIYIYAOWEISHENG
005113,PADHHS300ZSLHA,平安大华沪深300指数量化A,股票指数,PINGANDAHUAHUSHEN300ZHISHULIANGHUAA
005114,PADHHS300ZSLHC,平安大华沪深300指数量化C,股票指数,PINGANDAHUAHUSHEN300ZHISHULIANGHUAC
005115,GTLHJZJXHHA,国泰量化价值精选混合A,混合型,GUOTAILIANGHUAJIAZHIJINGXUANHUNHEA
005116,GTLHJZJXHHC,国泰量化价值精选混合C,混合型,GUOTAILIANGHUAJIAZHIJINGXUANHUNHEC
005117,JXJZJXLHPZHHA,金信价值精选灵活配置混合A,混合型,JINXINJIAZHIJINGXUANLINGHUOPEIZHIHUNHEA
005118,JXJZJXLHPZHHC,金信价值精选灵活配置混合C,混合型,JINXINJIAZHIJINGXUANLINGHUOPEIZHIHUNHEC
005119,YHZHNZJZLHPZ,银华智荟内在价值灵活配置,混合型,YINHUAZHIHUINEIZAIJIAZHILINGHUOPEIZHI
005120,STMGLHDYZHH,上投摩根量化多因子混合,混合型,SHANGTOUMOGENLIANGHUADUOYINZIHUNHE
005121,FGXLZQZQ,富国兴利增强债券,债券型,FUGUOXINGLIZENGQIANGZHAIQUAN
005122,YFDTTLCHBC,易方达天天理财货币C,货币型,YIFANGDATIANTIANLICAIHUOBIC
005123,NFYXFHHH,南方优享分红混合,混合型,NANFANGYOUXIANGFENHONGHUNHE
005124,YFDHYDKZQFQS,易方达恒益定开债券发起式,定开债券,YIFANGDAHENGYIDINGKAIZHAIQUANFAQISHI
005125,HBBPZGAGHLJHZSC,华宝标普中国A股红利机会指数C,股票指数,HUABAOBIAOPUZHONGGUOAGUHONGLIJIHUIZHISHUC
005126,YHLHWJHH,银河量化稳进混合,混合型,YINHELIANGHUAWENJINHUNHE
005127,PADHHZDKZ,平安大华合正定开债,定开债券,PINGANDAHUAHEZHENGDINGKAIZHAI
005128,HXYKTFHH,华夏永康添福混合,混合型,HUAXIAYONGKANGTIANFUHUNHE
005129,FGJLDKHHA,富国金利定开混合A,混合型,FUGUOJINLIDINGKAIHUNHEA
005130,FGJLDKHHC,富国金利定开混合C,混合型,FUGUOJINLIDINGKAIHUNHEC
005131,HFTYXHBA,海富通盈鑫货币A,货币型,HAIFUTONGYINGXINHUOBIA
005132,HFTYXHBB,海富通盈鑫货币B,货币型,HAIFUTONGYINGXINHUOBIB
005133,XYLHJXHH,兴业量化精选混合,混合型,XINGYELIANGHUAJINGXUANHUNHE
005134,CXCJTHBA,长信长金通货币A,货币型,CHANGXINCHANGJINTONGHUOBIA
005135,CXCJTHBB,长信长金通货币B,货币型,CHANGXINCHANGJINTONGHUOBIB
005136,HAXFSHHH,华安幸福生活混合,混合型,HUAANXINGFUSHENGHUOHUNHE
